pc_time,seq,en,arm,guard,zero,theta,target,err,gx,rate,p,i,d,raw,out,ff,yaw,ls,rs
2026-04-18T23:24:25.376,92,1,0,1,-1.199,39.859,-1.199,73.517,-111.338,-0.049,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:25.555,92,1,0,1,-1.199,39.865,-1.199,73.517,-111.338,-0.009,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:25.557,92,1,0,1,-1.199,39.877,-1.199,73.517,-111.338,0.04,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:25.726,92,1,0,1,-1.199,39.883,-1.199,73.517,-111.338,0.033,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:25.811,92,1,0,1,-1.199,39.882,-1.199,73.517,-111.338,-0.051,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:25.982,92,1,0,1,-1.199,39.884,-1.199,73.517,-111.338,-0.043,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:25.990,92,1,0,1,-1.199,39.888,-1.199,73.517,-111.338,-0.011,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:26.156,92,1,0,1,-1.199,39.893,-1.199,73.517,-111.338,0.043,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:26.331,92,1,0,1,-1.199,39.907,-1.199,73.517,-111.338,0.046,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:26.333,92,1,0,1,-1.199,39.9,-1.199,73.517,-111.338,-0.038,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:26.508,92,1,0,1,-1.199,39.895,-1.199,73.517,-111.338,-0.053,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:26.510,92,1,0,1,-1.199,39.893,-1.199,73.517,-111.338,-0.055,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:26.603,92,1,0,1,-1.199,39.892,-1.199,73.517,-111.338,-0.014,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:26.769,92,1,0,1,-1.199,39.893,-1.199,73.517,-111.338,0.048,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:26.853,92,1,0,1,-1.199,39.894,-1.199,73.517,-111.338,-0.022,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:26.954,92,1,0,1,-1.199,39.888,-1.199,73.517,-111.338,-0.054,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:27.056,92,1,0,1,-1.199,39.883,-1.199,73.517,-111.338,-0.013,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:27.227,92,1,0,1,-1.199,39.866,-1.199,73.517,-111.338,-0.287,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:27.229,92,1,0,1,-1.199,39.392,-1.199,73.517,-111.338,-0.389,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:27.483,92,1,0,1,-1.199,37.957,-1.199,73.517,-111.338,-19.814,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:27.485,92,1,0,1,-1.199,26.931,-1.199,73.517,-111.338,-84.397,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:27.486,92,1,0,1,-1.199,0.424,-1.199,73.517,-111.338,-112.856,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:27.674,92,1,0,1,-1.199,-12.744,-1.199,73.517,-111.338,-62.065,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:27.772,92,1,0,1,-1.199,-19.813,-1.199,73.517,-111.338,-31.433,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:27.867,92,1,0,1,-1.199,-19.502,-1.199,73.517,-111.338,-26.393,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:27.960,92,1,0,1,-1.199,-18.9,-1.199,73.517,-111.338,-27.293,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:28.133,92,1,0,1,-1.199,-15.732,-1.199,73.517,-111.338,-3.881,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:28.320,92,1,0,1,-1.199,-10.903,-1.199,73.517,-111.338,7.205,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:28.323,92,1,0,1,-1.199,-6.302,-1.199,73.517,-111.338,-2.178,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:28.324,92,1,0,1,-1.199,-4.907,-1.199,73.517,-111.338,-12.704,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:28.508,92,1,0,1,-1.199,-3.899,-1.199,73.517,-111.338,-4.91,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:28.606,92,1,0,1,-1.199,-3.079,-1.199,73.517,-111.338,-3.546,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:28.608,92,1,0,1,-1.199,-2.606,-1.199,73.517,-111.338,-4.008,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:28.879,92,1,0,1,-1.199,-3.121,-1.199,73.517,-111.338,-7.757,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:29.058,92,1,0,1,-1.199,-3.515,-1.199,73.517,-111.338,-0.544,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:29.060,92,1,0,1,-1.199,-2.501,-1.199,73.517,-111.338,2.51,514.62,0.0,46.34,561,561,0,0,403,403
2026-04-18T23:24:29.149,92,1,0,1,-1.199,-2.167,-1.199,73.517,-111.338,-0.631,514.62,0.0,46.34,561,561,0,0,403,403
