pc_time,seq,en,arm,guard,zero,theta,target,err,gx,rate,p,i,d,raw,out,ff,yaw,ls,rs
2026-04-18T23:11:21.851,133,1,0,1,-0.616,3.503,-0.616,45.173,-137.519,-1.729,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:21.938,133,1,0,1,-0.616,2.853,-0.616,45.173,-137.519,-1.725,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:22.030,133,1,0,1,-0.616,2.189,-0.616,45.173,-137.519,-1.901,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:22.223,133,1,0,1,-0.616,2.056,-0.616,45.173,-137.519,1.59,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:22.226,133,1,0,1,-0.616,2.424,-0.616,45.173,-137.519,1.474,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:22.407,133,1,0,1,-0.616,2.246,-0.616,45.173,-137.519,-0.959,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:22.594,133,1,0,1,-0.616,2.104,-0.616,45.173,-137.519,-0.76,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:22.596,133,1,0,1,-0.616,2.085,-0.616,45.173,-137.519,1.415,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:22.770,133,1,0,1,-0.616,2.182,-0.616,45.173,-137.519,-0.792,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:22.772,133,1,0,1,-0.616,2.392,-0.616,45.173,-137.519,1.94,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:22.944,133,1,0,1,-0.616,2.528,-0.616,45.173,-137.519,1.8,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:23.040,133,1,0,1,-0.616,3.434,-0.616,45.173,-137.519,4.392,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:23.312,133,1,0,1,-0.616,3.869,-0.616,45.173,-137.519,0.7,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:23.314,133,1,0,1,-0.616,3.74,-0.616,45.173,-137.519,-1.42,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:23.316,133,1,0,1,-0.616,2.762,-0.616,45.173,-137.519,-4.439,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:23.495,133,1,0,1,-0.616,2.046,-0.616,45.173,-137.519,-1.958,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:23.497,133,1,0,1,-0.616,1.11,-0.616,45.173,-137.519,-5.994,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:23.675,133,1,0,1,-0.616,-0.059,-0.616,45.173,-137.519,-6.127,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:23.766,133,1,0,1,-0.616,-0.86,-0.616,45.173,-137.519,-1.196,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:23.865,133,1,0,1,-0.616,-0.344,-0.616,45.173,-137.519,2.307,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:23.962,133,1,0,1,-0.616,0.791,-0.616,45.173,-137.519,3.27,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:24.051,133,1,0,1,-0.616,1.089,-0.616,45.173,-137.519,-1.381,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:24.151,133,1,0,1,-0.616,0.623,-0.616,45.173,-137.519,-4.142,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:24.338,133,1,0,1,-0.616,-0.666,-0.616,45.173,-137.519,-8.754,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:24.341,133,1,0,1,-0.616,-2.807,-0.616,45.173,-137.519,-13.981,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:24.436,133,1,0,1,-0.616,-5.242,-0.616,45.173,-137.519,-12.396,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:24.627,133,1,0,1,-0.616,-6.105,-0.616,45.173,-137.519,-2.53,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:24.820,133,1,0,1,-0.616,-5.564,-0.616,45.173,-137.519,-0.39,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:24.823,133,1,0,1,-0.616,-5.388,-0.616,45.173,-137.519,-2.389,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:24.914,133,1,0,1,-0.616,-4.904,-0.616,45.173,-137.519,-0.016,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:25.009,133,1,0,1,-0.616,-3.98,-0.616,45.173,-137.519,1.347,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:25.105,133,1,0,1,-0.616,-3.547,-0.616,45.173,-137.519,-0.31,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:25.199,133,1,0,1,-0.616,-3.39,-0.616,45.173,-137.519,0.546,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:25.298,133,1,0,1,-0.616,-2.759,-0.616,45.173,-137.519,3.789,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:25.465,133,1,0,1,-0.616,-2.043,-0.616,45.173,-137.519,2.445,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:25.561,133,1,0,1,-0.616,-1.7,-0.616,45.173,-137.519,-0.031,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:25.660,133,1,0,1,-0.616,-1.789,-0.616,45.173,-137.519,1.415,316.21,0.0,45.172,361,361,0,0,178,178
2026-04-18T23:11:25.757,133,1,0,1,-0.616,-1.539,-0.616,45.173,-137.519,1.692,316.21,0.0,45.172,361,361,0,0,178,178
