pc_time,seq,en,arm,guard,zero,theta,target,err,gx,rate,p,i,d,raw,out,ff,yaw,ls,rs
2026-04-18T23:29:13.950,472,1,1,0,1.857,5.092,1.857,3.235,0.283,0.691,22.885,0.0,0.02,-10,-19,0,0,-18,-18
2026-04-18T23:29:13.952,472,1,1,0,1.857,5.092,1.857,3.235,0.283,0.691,22.644,0.0,0.346,-23,-40,0,0,-39,-39
2026-04-18T23:29:14.048,473,1,1,0,1.857,4.405,1.857,2.548,3.047,-1.178,17.836,0.0,-0.589,-17,-33,0,0,-40,-40
2026-04-18T23:29:14.143,474,1,1,0,1.857,3.449,1.857,1.592,2.223,-1.7,11.146,0.0,-0.85,-10,-21,0,0,-33,-33
2026-04-18T23:29:14.238,475,1,1,0,1.857,3.222,1.857,1.365,-2.663,0.481,9.555,0.0,0.241,-10,-19,0,0,-21,-21
2026-04-18T23:29:14.334,475,1,1,0,1.857,3.222,1.857,1.365,-2.663,0.481,9.555,0.0,0.241,-10,-19,0,0,-21,-21
2026-04-18T23:29:14.422,476,1,1,0,1.857,3.607,1.857,1.75,-0.342,0.412,12.25,0.0,0.206,-12,-24,0,0,-19,-19
2026-04-18T23:29:14.600,477,1,1,0,1.857,3.46,1.857,1.603,1.52,-0.554,11.219,0.0,-0.277,-11,-22,0,0,-24,-24
2026-04-18T23:29:14.602,478,1,1,0,1.857,3.515,1.857,1.658,-1.442,0.444,11.606,0.0,0.222,-12,-23,0,0,-22,-22
2026-04-18T23:29:14.782,479,1,1,0,1.857,3.763,1.857,1.905,0.055,0.195,13.337,0.0,0.097,-13,-26,0,0,-23,-23
2026-04-18T23:29:14.877,480,1,1,0,1.857,4.016,1.857,2.159,-0.098,0.146,15.114,0.0,0.073,-15,-29,0,0,-26,-26
2026-04-18T23:29:14.961,481,1,1,0,1.857,4.345,1.857,2.488,-6.083,3.115,17.417,0.0,1.557,-19,-34,0,0,-29,-29
2026-04-18T23:29:15.056,482,1,1,0,1.857,6.803,1.857,4.946,-12.342,7.728,34.623,0.0,3.864,-38,-45,0,0,-34,-34
2026-04-18T23:29:15.150,483,1,1,0,1.857,11.419,1.857,9.561,-33.928,20.828,66.93,0.0,10.414,-77,-77,0,0,-45,-45
2026-04-18T23:29:15.240,484,1,1,0,1.857,32.338,1.857,30.48,-144.735,82.781,213.363,0.0,41.391,-255,-255,0,0,-77,-77
2026-04-18T23:29:15.332,484,1,1,0,1.857,82.296,1.857,30.48,-144.735,70.054,213.363,0.0,41.391,-255,-255,0,0,-77,-77
2026-04-18T23:29:15.431,484,1,1,0,1.857,82.296,1.857,30.48,-144.735,70.054,213.363,0.0,41.391,-255,-255,0,0,-77,-77
2026-04-18T23:29:15.536,484,1,0,1,1.857,63.875,1.857,30.48,-144.735,-1.877,213.363,0.0,41.391,-255,-255,0,0,-77,-77
2026-04-18T23:29:15.623,484,1,0,1,1.857,56.329,1.857,30.48,-144.735,-0.408,213.363,0.0,41.391,-255,-255,0,0,-77,-77
2026-04-18T23:29:15.801,484,1,0,1,1.857,49.912,1.857,30.48,-144.735,-0.089,213.363,0.0,41.391,-255,-255,0,0,-77,-77
2026-04-18T23:29:15.803,484,1,0,1,1.857,45.198,1.857,30.48,-144.735,0.413,213.363,0.0,41.391,-255,-255,0,0,-77,-77
2026-04-18T23:29:15.974,484,1,0,1,1.857,41.827,1.857,30.48,-144.735,-0.019,213.363,0.0,41.391,-255,-255,0,0,-77,-77
2026-04-18T23:29:16.069,484,1,0,1,1.857,39.712,1.857,30.48,-144.735,0.126,213.363,0.0,41.391,-255,-255,0,0,-77,-77
