pc_time,seq,en,arm,guard,zero,theta,target,err,gx,rate,p,i,d,raw,out,ff,yaw,ls,rs
2026-04-18T23:09:58.616,0,1,0,0,0.0,39.042,0.0,0.0,0.0,-0.12,0.0,0.0,0.0,0,0,0,0,0,0
2026-04-18T23:09:58.864,0,1,0,0,0.0,39.056,0.0,0.0,0.0,0.099,0.0,0.0,0.0,0,0,0,0,0,0
2026-04-18T23:09:58.866,0,1,0,0,0.0,39.064,0.0,0.0,0.0,0.087,0.0,0.0,0.0,0,0,0,0,0,0
2026-04-18T23:09:59.030,0,1,0,0,0.0,39.062,0.0,0.0,0.0,-0.029,0.0,0.0,0.0,0,0,0,0,0,0
2026-04-18T23:09:59.032,0,1,0,0,0.0,39.055,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0,0,0,0,0,0
2026-04-18T23:09:59.115,0,1,0,0,0.0,39.061,0.0,0.0,0.0,0.061,0.0,0.0,0.0,0,0,0,0,0,0
2026-04-18T23:09:59.200,0,1,0,0,0.0,39.073,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0,0,0,0,0,0
2026-04-18T23:09:59.457,0,1,0,0,0.0,39.074,0.0,0.0,0.0,0.092,0.0,0.0,0.0,0,0,0,0,0,0
2026-04-18T23:09:59.459,0,1,0,0,0.0,39.068,0.0,0.0,0.0,-0.049,0.0,0.0,0.0,0,0,0,0,0,0
2026-04-18T23:09:59.461,0,1,0,0,0.0,39.062,0.0,0.0,0.0,-0.054,0.0,0.0,0.0,0,0,0,0,0,0
2026-04-18T23:09:59.703,0,1,0,0,0.0,39.06,0.0,0.0,0.0,-0.063,0.0,0.0,0.0,0,0,0,0,0,0
2026-04-18T23:09:59.705,0,1,0,0,0.0,39.062,0.0,0.0,0.0,0.057,0.0,0.0,0.0,0,0,0,0,0,0
2026-04-18T23:09:59.952,0,1,0,0,0.0,39.061,0.0,0.0,0.0,-0.019,0.0,0.0,0.0,0,0,0,0,0,0
2026-04-18T23:09:59.953,0,1,0,0,0.0,39.055,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0,0,0,0,0,0
2026-04-18T23:10:00.034,0,1,0,0,0.0,39.048,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0,0,0,0,0,0
2026-04-18T23:10:00.123,0,1,0,0,0.0,39.04,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0,0,0,0,0,0
2026-04-18T23:10:00.208,0,1,0,0,0.0,39.039,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0,0,0,0,0,0
2026-04-18T23:10:00.299,0,1,0,0,0.0,39.043,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0,0,0,0,0,0
